region,num
Bourgogne-Franche-Comté,28
Occitanie,28
Nouvelle-Aquitaine,23
Grand-Est,15
PACA,10
Normandie,8
Bretagne,7
Auvergne-Rhône-Alpes,7
Pays-de-la-Loire,5
Hauts-de-France,3
Centre-Val de Loire,2
