WHO Region,Confirmed,Deaths,Recovered,Recoveredtxt
Africa,21791827,439978,111.9373,"Recovered:111.9373,Africa"
Americas,402261194,19359292,1570.69444,"Recovered:1570.69444,Americas"
Eastern Mediterranean,74082892,1924029,480.50703,"Recovered:480.50703,Eastern Mediterranean"
Europe,248879793,19271040,1232.02075,"Recovered:1232.02075,Europe"
South-East Asia,55118365,1458134,300.30327,"Recovered:300.30327,South-East Asia"
Western Pacific,26374411,932430,188.6195,"Recovered:188.6195,Western Pacific"
